"Journal","Field","Publisher","Publisher type","Business model","Institution","Institution type","Website","APC €uros","Scimago Rank","PCI partner"
"Herpetologica","organisms","The Herpetologists' League","Non-profit","hybrid","The Herpetologists' League","Society","https://complete.bioone.org/journals/herpetologica/scope-and-details","2107","0.746","none"
"Herpetozoa","organisms","Pensoft","For-profit","OA","Austrian Herpetological Society","Society","https://herpetozoa.pensoft.net/","550","0.352","none"
"Hystrix","organisms","Italian Mammal Society - Associazione Teriologica Italiana","Non-profit","diamond_OA","Italian Mammal Society - Associazione Teriologica Italiana","Society","http://www.italian-journal-of-mammalogy.it","0","0.527","none"
"Ibis","organisms","Wiley","For-profit","hybrid","British Ornithologists' Union","Society","https://onlinelibrary.wiley.com/journal/1474919x","2750","0.804","none"
"Ichthyology & Herpetology","organisms","American Society of Ichthyologists and Herpetologists","Non-profit","hybrid","American Society of Ichthyologists and Herpetologists","Society","http://www.ichthyologyandherpetology.org/","2107","0.599","none"
"International Journal of Primatology","organisms","Springer","For-profit","hybrid","International Primatological Society","Society","https://www.springer.com/journal/10764/","2690","0.774","none"
"Journal of Anatomy","organisms","Wiley","For-profit","hybrid","Anatomical Society","Society","https://onlinelibrary.wiley.com/journal/14697580","2500","0.855","none"
"Journal of Avian Biology","organisms","Wiley","For-profit","OA","Nordic Society Oikos","Society","https://onlinelibrary.wiley.com/journal/1600048x","2000","0.863","PCI friendly"
"Journal of Bat Research and Conservation","organisms","Spanish Society of Bat Research and Conservation","Non-profit","diamond_OA","Spanish Society of Bat Research and Conservation","Society","https://secemu.org/en/journal-of-bat-research-and-conservation/","0","","none"
"Journal of Caribbean Ornithology","organisms","BirdsCaribbean","Non-profit","OA","BirdsCaribbean","Society","https://jco.birdscaribbean.org/index.php/jco/","120","","none"
"Journal of Field Ornithology","organisms","Wiley","For-profit","hybrid","Association of Field Ornithologists","Society","https://onlinelibrary.wiley.com/journal/15579263","2500","0.488","none"
"Journal of Fish Biology","organisms","Wiley","For-profit","hybrid","Fisheries Society of the British Isles","other","https://onlinelibrary.wiley.com/journal/10958649","2750","0.609","none"
"Journal of Herpetology","organisms","Society for the Study of Amphibians and Reptiles","Non-profit","hybrid","Society for the Study of Amphibians and Reptiles","Society","https://meridian.allenpress.com/journal-of-herpetology","969","0.531","none"
"Journal of Ornithology","organisms","Springer","For-profit","hybrid","German Ornithologists' Society","Society","https://www.springer.com/journal/10336","2790","","none"
"Journal of Raptor Research","organisms","Raptor Research Foundation","Non-profit","hybrid","Raptor Research Foundation","Society","https://meridian.allenpress.com/rapt","1387","0.448","none"
"Journal of Vertebrate Biology","organisms","Czech Academy of Sciences","Non-profit","diamond_OA","Czech Academy of Sciences","Uni/Gov","https://www.jvertbiol.cz/","0","0.378","none"
"Malimbus","organisms","West African Ornithological Society","Non-profit","subscription","West African Ornithological Society","Society","https://malimbus.org/en/contindx.html","","","none"
"Mammal Review","organisms","Wiley","For-profit","hybrid","The Mammal Society","Society","https://onlinelibrary.wiley.com/journal/13652907","3000","1.438","none"
"Mammal Study","organisms","Mammal Society of Japan","Non-profit","hybrid","Mammal Society of Japan","Society","https://bioone.org/journals/mammal-study","763","0.291","none"
"Marine Mammal Science","organisms","Wiley","For-profit","hybrid","Society for Marine Mammalogy","Society","https://onlinelibrary.wiley.com/journal/17487692","2500","0.788","none"
"Mastozoologia Neotropical","organisms","Sociedade Brasileira de Mastozoologia / Sociedad Argentina para el Estudio de los Mamiferos","Non-profit","OA","Sociedade Brasileira de Mastozoologia / Sociedad Argentina para el Estudio de los Mamiferos","Society","https://mn.sarem.org.ar/","166","0.36","none"
"Ornithological Applications","organisms","Oxford University Press","University Press","hybrid","American Ornithological Society","Society","https://academic.oup.com/condor/","3080","","none"
"Ornithological Science","organisms","The Ornithological Society of Japan","Non-profit","subscription","The Ornithological Society of Japan","Society","http://ornithology.jp/en/publications.html","","0.292","none"
"Ornithology","organisms","Oxford University Press","University Press","hybrid","American Ornithological Society","Society","https://academic.oup.com/auk","3080","","none"
"Peer Community In Animal Science","organisms","Peer Community In","Non-profit","diamond_OA","Peer Community In","Non-profit","https://evolbiol.peercommunityin.org/","0","","PCI"
"Revue de Primatologie","organisms","OpenEdition","Non-profit","diamond_OA","Societe Francophone de Primatologie","Society","https://journals.openedition.org/primatologie/","0","","none"
"Ringing and Migration","organisms","Taylor & Francis","For-profit","subscription","European Union for Bird Ringing","Society","https://www.tandfonline.com/toc/tram20/current","","0.225","none"
"Salamandra","organisms","German Society for Herpetology and Herpetoculture","Non-profit","subscription","German Society for Herpetology and Herpetoculture","Society","https://www.salamandra-journal.com/","","0.526","none"
"Treubia","organisms","Indonesian Institute of Sciences","Non-profit","diamond_OA","Auckland Museum","Museum","https://e-journal.biologi.lipi.go.id/index.php/treubia","0","","none"
"Waterbirds","organisms","The Waterbird Society","Non-profit","subscription","The Waterbird Society","Society","https://waterbirds.org/journal/","","0.341","none"
"Acta Palaeobotanica","paleo/geo","Acta Palaeobotanica","Non-profit","diamond_OA","Polish Academy of Sciences","Uni/Gov","https://acpa.botany.pl/","0","0.341","none"
"Acta Palaeontologica Polonica","paleo/geo","Acta Palaeontologica Polonica","Non-profit","diamond_OA","Polish Academy of Sciences","Uni/Gov","https://www.app.pan.pl/home.html","0","0.694","none"
"Alcheringa","paleo/geo","Taylor & Francis","For-profit","hybrid","Australasian Palaeontologists","Society","https://www.tandfonline.com/toc/talc20/current","3170","0.618","none"
"Alpine and Mediterranean Quaternary","paleo/geo","Italian Association for Quaternary Research","Non-profit","diamond_OA","Italian Association for Quaternary Research","Society","http://amq.aiqua.it/","0","0.329","none"
"Ameghiniana","paleo/geo","Ameghiniana","Non-profit","hybrid","Argentinian Association of Paleontology","Society","https://ameghiniana.org.ar/index.php/ameghiniana","300","0.393","none"
"American Museum Novitates","paleo/geo","American Museum of Natural History","Non-profit","diamond_OA","American Museum of Natural History","Museum","https://hdl.handle.net/2246/9","0","0.42","none"
"Andean Geology","paleo/geo","Servicio Nacional de Geologia y Mineria de Chile","Non-profit","diamond_OA","Sociedad Geologica de Chile","Society","http://www.andeangeology.cl/index.php/revista1/index","0","0.45","none"
"Basin Research","paleo/geo","Wiley","For-profit","hybrid","International Association of Sedimentologists / European Association of Geoscientists and Engineers.","Society","https://onlinelibrary.wiley.com/journal/13652117","3250","1.335","none"
"Biogeosciences","paleo/geo","Copernicus Publications","For-profit","OA","European Geosciences Union","Society","https://www.biogeosciences.net/","930","1.6","none"
"Boreas","paleo/geo","Wiley","For-profit","OA","Collegium Boreas","Society","https://onlinelibrary.wiley.com/journal/15023885","2570","","none"
"Bulletin de la Societe Geologique de France","paleo/geo","EDP Science","For-profit","OA","Societe Geologique de France","Society","https://www.bsgf.fr/fr/","500","0.88","none"
"Bulletin of Geosciences","paleo/geo","Bulletin of Geosciences","Non-profit","diamond_OA","West Bohemia Museum","Museum","http://www.geology.cz/bulletin/","0","0.56","none"
"Bulletin of the American Museum of Natural History","paleo/geo","American Museum of Natural History","Non-profit","diamond_OA","American Museum of Natural History","Museum","https://hdl.handle.net/2246/7","0","1.16","none"
"Climate of the Past","paleo/geo","Copernicus Publications","For-profit","OA","European Geosciences Union","Society","https://www.climate-of-the-past.net/","1600","2.03","none"
"Comptes Rendus Geoscience","paleo/geo","Academie des Sciences","Non-profit","diamond_OA","Academie des Sciences","Uni/Gov","https://comptes-rendus.academie-sciences.fr/geoscience","0","0.43","none"
"Comptes Rendus Palevol","paleo/geo","Academie des Sciences","Non-profit","diamond_OA","Academie des Sciences","Uni/Gov","https://sciencepress.mnhn.fr/fr/periodiques/comptes-rendus-palevol","0","0.58","PCI friendly"
"EOS","paleo/geo","American Geophysical Union","Non-profit","subscription","American Geophysical Union","Society","https://eos.org/","","0.15","none"
"Fossil Record","paleo/geo","Pensoft","For-profit","OA","Museum für Naturkunde Berlin","Museum","https://fr.pensoft.net/","","0.28","none"
"Geochemical Perspectives","paleo/geo","European Association of Geochemistry","Non-profit","diamond_OA","European Association of Geochemistry","Society","https://www.geochemicalperspectives.org/","0","0.61","none"
"Geochemical Perspectives Letters","paleo/geo","European Association of Geochemistry","Non-profit","diamond_OA","European Association of Geochemistry","Society","https://www.geochemicalperspectivesletters.org/","0","2.15","none"
"Geodiversitas","paleo/geo","Museum National d'Histoire Naturelle","Non-profit","diamond_OA","Museum National d'Histoire Naturelle","Museum","https://sciencepress.mnhn.fr/fr/periodiques/geodiversitas","0","0.65","PCI friendly"
"Geologica Acta","paleo/geo","Revistes Cientifiques de la Universitat de Barcelona","Non-profit","diamond_OA","Universitat de Barcelona","Uni/Gov","https://revistes.ub.edu/index.php/GEOACTA/index","0","0.36","none"
"Geologues","paleo/geo","Societe Geologique de France","Non-profit","subscription","Societe Geologique de France","Society","https://www.geosoc.fr/publication/geologues/a-propos.html","","","none"
"Geology","paleo/geo","GeoScienceWorld","Non-profit","hybrid","Geological Society of America","Society","https://www.geosociety.org/gsa/pubs/geology/home.aspx","2595","2.4","none"
"Geology Ecology and Landscapes","paleo/geo","Taylor & Francis","For-profit","OA","International Water  Air and Soil Conservation Society","Society","https://www.tandfonline.com/journals/tgel20","","0.836","none"
"Geophysical Research Letters","paleo/geo","Wiley","For-profit","OA","American Geophysical Union","Society","https://agupubs.onlinelibrary.wiley.com/journal/19448007","2687","1.84","none"
"Geoscience Frontiers","paleo/geo","Elsevier","For-profit","OA","China University of Geosciences / Peking University","Uni/Gov","https://www.journals.elsevier.com/geoscience-frontiers","2780","1.93","none"
"Geosphere","paleo/geo","GeoScienceWorld","Non-profit","OA","Geological Society of America","Society","https://www.geosociety.org/GSA/Publications/Journals/Geosphere/GSA/Pubs/geosphere/home.aspx","1622","1.41","none"
"GSA Bulletin","paleo/geo","GeoScienceWorld","Non-profit","hybrid","Geological Society of America","Society","https://www.geosociety.org/GSA/Publications/Journals/Bulletin/GSA/Pubs/bulletin/home.aspx","2595","2.17","none"
"International Journal of Speleology","paleo/geo","Societa Speleologica Italiana","Non-profit","diamond_OA","Union Internationale de Speleologie","Society","https://scholarcommons.usf.edu/ijs/","0","0.542","none"
"Journal of African Earth Sciences","paleo/geo","Elsevier","For-profit","hybrid","Geological Society of Africa","Society","https://www.journals.elsevier.com/journal-of-african-earth-sciences","2530","0.59","none"
"Journal of Cave and Karst Studies","paleo/geo","National Speleological Society","Non-profit","diamond_OA","National Speleological Society","Society","https://caves.org/journal-of-cave-and-karst-studies/","0","","none"
"Journal of Geophysical Research: Biogeosciences","paleo/geo","Wiley","For-profit","OA","American Geophysical Union","Society","https://agupubs.onlinelibrary.wiley.com/journal/21698961","2687","1.29","none"
"Journal of Iberian Geology","paleo/geo","Springer","For-profit","hybrid","Universidad Complutense de Madrid","Uni/Gov","https://www.springer.com/journal/41513","2290","0.48","none"
"Journal of Micropalaeontology","paleo/geo","Copernicus Publications","For-profit","OA","The Geological Society","Society","https://www.journal-of-micropalaeontology.net/","730","0.54","none"
"Journal of Paleontology","paleo/geo","Cambridge University Press","University Press","hybrid","Paleontological Society","Society","https://www.cambridge.org/core/journals/journal-of-paleontology","","",""
"Journal of Quaternary Science","paleo/geo","Wiley","For-profit","hybrid","Quaternary Research Association","Society","https://onlinelibrary.wiley.com/journal/10991417","3500","0.99","none"
"Journal of Stratigraphy and Sedimentology Researches","paleo/geo","University of Isfahan","Non-profit","OA","University of Isfahan","Uni/Gov","https://jssr.ui.ac.ir/?lang=en","0","","none"
"Journal of Systematic Palaeontology","paleo/geo","Taylor & Francis","For-profit","hybrid","Natural History Museum","Museum","https://www.tandfonline.com/toc/tjsp20/current","3170","0.831","none"
"Journal of the Geological Society (of London)","paleo/geo","Geological Society of London","Non-profit","subscription","Geological Society of London","Society","https://www.geolsoc.org.uk/Publications/Journals/Journal-of-the-Geological-Society","4080","1.122","none"
"Journal of Vertebrate Paleontology","paleo/geo","Taylor & Francis","For-profit","hybrid","Society of Vertebrate Paleontology","Society","https://vertpaleo.org/journal-of-vertebrate-paleontology/","1630","0.62","none"
"Micropaleontology","paleo/geo","Micropress","Non-profit","subscription","The Micropaleotology Project","Non-profit","https://www.micropress.org/micropaleontology.html","","0.42","none"
"MorphoMuseum","paleo/geo","Institut des Sciences de l'Evolution de Montpellier","Non-profit","diamond_OA","Institut des Sciences de l'Evolution de Montpellier","Uni/Gov","https://morphomuseum.com/","0","","none"
"Palaeoentomology","paleo/geo","Magnolia Press","Non-profit","diamond_OA","International Palaeoentomological Society","Society","https://www.mapress.com/pe/about","0","","none"
"Palaeontologia Electronica","paleo/geo","Coquina Press","Non-profit","diamond_OA","Paleontological Society / Palaeontological Association / Society of Vertebrate Paleontology / Western Interior Paleontological Society","Society","https://palaeo-electronica.org/content/","0","0.65","none"
"Palaeontology","paleo/geo","Wiley","For-profit","hybrid","Palaeontological Association","Society","https://onlinelibrary.wiley.com/journal/14754983","3760","1.06","none"
"PalaeoVertebrata","paleo/geo","Institut des Sciences de l'Evolution de Montpellier","Non-profit","diamond_OA","Institut des Sciences de l'Evolution de Montpellier","Uni/Gov","https://www.palaeovertebrata.com/","0","","none"
"Palaeoworld","paleo/geo","Elsevier","For-profit","hybrid","Nanjing Institute of Geology and Palaeontology","Uni/Gov","https://www.sciencedirect.com/journal/palaeoworld","2780","0.61","none"
"Palaontologische Zeitschrift","paleo/geo","Springer","For-profit","hybrid","Palaeontologische Gesellschaft","Society","https://www.springer.com/journal/12542","2290","0.48","none"
"Paleobiology","paleo/geo","Cambridge University Press","University Press","hybrid","Palaeontological Society","Society","https://www.cambridge.org/core/journals/paleobiology","2410","1.054","none"
"Paleoceanography and Paleoclimatology","paleo/geo","Wiley","For-profit","hybrid","American Geophysical Union","Society","https://agupubs.onlinelibrary.wiley.com/journal/25724525","2687","1.063","none"
"Paleontological Research","paleo/geo","Palaeontological Society of Japan","Non-profit","subscription","Palaeontological Society of Japan","Society","http://www.palaeo-soc-japan.jp/en/publications/pr/","","0.31","none"
"Papers in Palaeontology","paleo/geo","Wiley","For-profit","hybrid","Palaeontological Association","Society","https://onlinelibrary.wiley.com/journal/20562802","3660","0.87","none"
"Peer Community In Paleontology","paleo/geo","Peer Community In","Non-profit","diamond_OA","Peer Community In","Non-profit","https://paleo.peercommunityin.org/about/about","0","","PCI"
"Proceedings of the Geologists Association","paleo/geo","Elsevier","For-profit","hybrid","Geologists' Association","Society","https://www.journals.elsevier.com/proceedings-of-the-geologists-association","3060","0.42","none"
"Quaternaire","paleo/geo","OpenEdition","Non-profit","subscription","Association Francaise pour l Etude du Quaternaire / CNRS","Society","https://journals.openedition.org/quaternaire/","","0.277","PCI friendly"
"Quaternary International","paleo/geo","Elsevier","For-profit","hybrid","International Union for Quaternary Research","Society","https://www.journals.elsevier.com/quaternary-international","3400","0.872","none"
"Revista Brasileira de Paleontologia","paleo/geo","Sociedade Brasileira de Paleontologia","Non-profit","diamond_OA","Sociedade Brasileira de Paleontologia","Society","https://sbpbrasil.org/publications/index.php/rbp/index","0","0.31","none"
"Revue de Paleobiologie","paleo/geo","Museum d'Histoire Naturelle de la Ville de Geneve","Non-profit","subscription","Museum d'Histoire Naturelle de la Ville de Geneve","Museum","http://institutions.ville-geneve.ch/fr/mhn/frontpage/revue-de-paleobiologie/","","0.2","none"
"Rivista Italiana di Paleontologia e Stratigrafia","paleo/geo","Milano University Press","University Press","diamond_OA","Universita degli Studi di Milano","Uni/Gov","https://riviste.unimi.it/index.php/RIPS","0","0.624","none"
"Scientific Drilling","paleo/geo","Copernicus Publications","For-profit","diamond_OA","International Continental Scientific Drilling Program / International Ocean Discovery Program","other","https://www.scientific-drilling.net/","0","0.6","none"
"Smithsonian Contributions to Paleobiology","paleo/geo","Smithsonian Scholarly Press","Non-profit","diamond_OA","Smithsonian Institution","Museum","https://repository.si.edu/handle/10088/1777","0","","none"
"Spanish Journal of Palaeontology","paleo/geo","Palaeontological Spanish Society","Non-profit","diamond_OA","Palaeontological Spanish Society","Society","https://sepaleontologia.es/spanish-journal-palaeontology/","0","0.23","none"
"Spelunca","paleo/geo","Federation francaise de Speleologie","Non-profit","subscription","Federation francaise de Speleologie","Society","https://publications.ffspeleo.fr/revue.php?id=203","0","","none"
"Swiss Journal of Palaeontology","paleo/geo","Springer","For-profit","OA","Schweizerische Geologische Gesellschaft / Swiss Academy of Sciences","Society","https://sjpp.springeropen.com/","1000","0.743","none"
"Zitteliana","paleo/geo","Pensoft","For-profit","diamond_OA","Bavarian State Collection of Palaeontology and Geology Munich","Museum","https://zitteliana.pensoft.net/","0","","none"
"Biodiversity Information Science and Standards","theory","Pensoft","For-profit","OA","Biodiversity Information Standards","Society","https://biss.pensoft.net/","560","","none"
"Bioinformatics","theory","Oxford University Press","University Press","OA","International Society for Computational Biology","Society","https://academic.oup.com/bioinformatics","3522","2.94","none"
"Bioinformatics Advances","theory","Oxford University Press","University Press","OA","International Society for Computational Biology","Society","https://academic.oup.com/bioinformaticsadvances","2428","","none"
"Biometrics","theory","Wiley","For-profit","hybrid","International Biometric Society","Society","https://onlinelibrary.wiley.com/journal/15410420","3090","1.348","none"
"Bulletin of Mathematical Biology","theory","Springer","For-profit","hybrid","Society for Mathematical Biology","Society","https://www.springer.com/journal/11538","2390","0.591","none"
"Geoscientific Model Development","theory","Copernicus Publications","For-profit","OA","European Geosciences Union","Society","https://www.geoscientific-model-development.net/","1600","2.225","none"
"IEEE/ACM Transactions on Computational Biology and Bioinformatics","theory","Institute of Electrical and Electronics Engineers","Non-profit","hybrid","IEEE Computer Society / The Association for Computing Machinery","Society","https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=8857","2345","0.794","none"
"Journal of Advances in Modeling Earth Systems","theory","Wiley","For-profit","OA","American Geophysical Union","Society","https://agupubs.onlinelibrary.wiley.com/journal/19422466","2080","3.605","none"
"Journal of Computational and Graphical Statistics","theory","Taylor & Francis","For-profit","hybrid","American Statistical Association","Society","https://www.tandfonline.com/toc/ucgs20/current","3190","1.72","none"
"Journal of Computer Applications in Archaeology","theory","Ubiquity Press","For-profit","OA","Computer Applications in Archaeology","Society","https://journal.caa-international.org/","500","","PCI friendly"
"Journal of Graph Algorithms and Applications","theory","Journal of Graph Algorithms and Applications","Non-profit","diamond_OA","Journal of Graph Algorithms and Applications","Non-profit","http://jgaa.info/","0","0.337","none"
"Journal of Mathematical Biology","theory","Springer","For-profit","hybrid","European Society for Mathematical and Theoretical Biology","Society","https://www.springer.com/journal/285","2190","0.739","none"
"Journal of Open Source Software","theory","Journal of Open Source Software","Non-profit","diamond_OA","Journal of Open Source Software","Non-profit","https://joss.theoj.org/","0","","none"
"Journal of Statistical Software","theory","Foundation for Open Access Statistics","Non-profit","diamond_OA","Foundation for Open Access Statistics","Society","https://www.jstatsoft.org/","0","2.722","none"
"Peer Community In Mathematical and Computational Biology","theory","Peer Community In","Non-profit","diamond_OA","Peer Community In","Non-profit","https://mcb.peercommunityin.org/","0","","PCI"
"Peer Community In Network Science","theory","Peer Community In","Non-profit","diamond_OA","Peer Community In","Non-profit","https://paleo.peercommunityin.org/","0","","PCI"
"Proceedings of the Royal Society A - Mathematical Physical and Engineering Sciences","theory","Oxford University Press","University Press","hybrid","The Royal Society","Society","https://academic.oup.com/jrsssa","3000","0.971","none"
"Proceedings of the Royal Society Interface","theory","The Royal Society","Non-profit","hybrid","The Royal Society","Society","https://royalsocietypublishing.org/journal/rsif","2040","1.196","none"
"Scandinavian Journal of Statistics","theory","Wiley","For-profit","hybrid","Danish Society for Theoretical Statistics / Finnish-Swedish Statistical Society / Norwegian Statistical Association","Society","https://onlinelibrary.wiley.com/journal/14679469","2830","0.769","none"
"SIAM Journal on Applied Mathematics","theory","Society for Industrial and Applied Mathematics","Non-profit","hybrid","Society for Industrial and Applied Mathematics / Finnish Statistical Society","Society","https://www.siam.org/publications/journals/siam-journal-on-applied-mathematics-siap","3150","0.899","none"
"SIAM Journal on Discrete Mathematics","theory","Society for Industrial and Applied Mathematics","Non-profit","hybrid","Society for Industrial and Applied Mathematics","Society","https://www.siam.org/publications/journals/siam-journal-on-discrete-mathematics-sidma","3150","0.901","none"
